iter	Passed	Remaining
0	21	2111
1	38	1887
2	56	1832
3	76	1845
4	97	1854
5	116	1828
6	132	1758
7	148	1712
8	166	1683
9	185	1670
10	205	1662
11	221	1624
12	237	1586
13	253	1555
14	267	1516
15	282	1481
16	298	1456
17	315	1438
18	332	1416
19	348	1394
20	366	1380
21	380	1350
22	395	1325
23	410	1298
24	425	1275
25	443	1261
26	460	1244
27	479	1231
28	498	1219
29	514	1201
30	529	1177
31	544	1157
32	563	1143
33	588	1142
34	614	1140
35	638	1135
36	655	1116
37	670	1093
38	686	1073
39	702	1053
40	716	1030
41	732	1011
42	751	995
43	767	976
44	783	957
45	797	936
46	811	915
47	829	898
48	850	885
49	869	869
50	888	853
51	904	835
52	923	819
53	941	801
54	958	784
55	976	766
56	994	749
57	1017	736
58	1034	719
59	1056	704
60	1075	687
61	1092	669
62	1109	651
63	1129	635
64	1148	618
65	1167	601
66	1191	586
67	1211	570
68	1229	552
69	1245	533
70	1261	515
71	1278	497
72	1294	478
73	1311	460
74	1326	442
75	1340	423
76	1364	407
77	1381	389
78	1398	371
79	1413	353
80	1428	335
81	1443	316
82	1463	299
83	1477	281
84	1492	263
85	1507	245
86	1522	227
87	1538	209
88	1554	192
89	1572	174
90	1589	157
91	1621	140
92	1638	123
93	1655	105
94	1670	87
95	1687	70
96	1703	52
97	1718	35
98	1733	17
99	1748	0
